txid,blockHeight,request_time,commit_time,delay
2,1,1672845500,1672845504,4
4,1,1672845500,1672845504,4
8,1,1672845501,1672845504,3
12,1,1672845501,1672845504,3
18,1,1672845502,1672845504,2
20,2,1672845502,1672845509,7
24,2,1672845503,1672845509,6
28,2,1672845503,1672845509,6
30,2,1672845503,1672845509,6
34,2,1672845504,1672845509,5
36,2,1672845504,1672845509,5
38,2,1672845504,1672845509,5
40,3,1672845505,1672845514,9
42,3,1672845505,1672845514,9
46,3,1672845505,1672845514,9
50,3,1672845506,1672845514,8
54,3,1672845506,1672845514,8
56,3,1672845507,1672845514,7
64,4,1672845508,1672845519,11
68,4,1672845508,1672845519,11
70,4,1672845508,1672845519,11
3,4,1672845500,1672845519,19
7,4,1672845500,1672845519,19
13,4,1672845501,1672845519,18
19,4,1672845502,1672845519,17
74,5,1672845509,1672845524,15
76,5,1672845509,1672845524,15
78,5,1672845509,1672845524,15
80,5,1672845510,1672845524,14
84,5,1672845510,1672845524,14
88,5,1672845511,1672845524,13
90,5,1672845511,1672845524,13
94,6,1672845511,1672845529,18
98,6,1672845512,1672845529,17
102,6,1672845512,1672845529,17
108,6,1672845514,1672845529,15
23,7,1672845502,1672845534,32
25,7,1672845503,1672845534,31
29,7,1672845503,1672845534,31
35,7,1672845504,1672845534,30
114,7,1672845515,1672845534,19
118,7,1672845515,1672845534,19
120,7,1672845516,1672845534,18
124,8,1672845516,1672845539,23
130,8,1672845517,1672845539,22
136,8,1672845518,1672845539,21
140,8,1672845518,1672845539,21
41,9,1672845505,1672845544,39
45,9,1672845505,1672845544,39
57,9,1672845507,1672845544,37
152,9,1672845520,1672845544,24
156,9,1672845520,1672845544,24
160,10,1672845521,1672845549,28
174,10,1672845522,1672845549,27
176,10,1672845523,1672845549,26
180,11,1672845523,1672845554,31
184,11,1672845524,1672845554,30
186,11,1672845524,1672845554,30
61,11,1672845507,1672845554,47
65,11,1672845508,1672845554,46
79,11,1672845510,1672845554,44
81,11,1672845511,1672845554,43
85,12,1672845511,1672845560,49
89,12,1672845512,1672845560,48
91,12,1672845512,1672845560,48
97,12,1672845513,1672845560,47
99,12,1672845513,1672845560,47
103,12,1672845513,1672845560,47
107,12,1672845514,1672845560,46
113,12,1672845515,1672845560,45
115,12,1672845515,1672845560,45
119,12,1672845515,1672845560,45
123,13,1672845516,1672845564,48
125,13,1672845516,1672845564,48
129,13,1672845517,1672845564,47
131,13,1672845517,1672845564,47
133,13,1672845517,1672845564,47
135,13,1672845517,1672845564,47
137,13,1672845518,1672845564,46
141,13,1672845518,1672845564,46
145,13,1672845519,1672845564,45
149,13,1672845519,1672845564,45
151,14,1672845519,1672845570,51
159,14,1672845520,1672845570,50
163,14,1672845521,1672845570,49
165,14,1672845521,1672845570,49
169,14,1672845522,1672845570,48
171,14,1672845522,1672845570,48
173,14,1672845522,1672845570,48
175,14,1672845522,1672845570,48
179,14,1672845523,1672845570,47
183,14,1672845523,1672845570,47
185,15,1672845524,1672845575,51
189,15,1672845524,1672845575,51
